253
Feature_ID,Active,AspectRatios_0,AspectRatios_1,AvgEulers_0,AvgEulers_1,AvgEulers_2,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,AxisEulerAngles_0,AxisEulerAngles_1,AxisEulerAngles_2,AxisLengths_0,AxisLengths_1,AxisLengths_2,Centroids_0,Centroids_1,Centroids_2,EquivalentDiameters,NumElements,NumNeighbors,Omega3s,Phases,Volumes,Volumes2
11,1,0.30242005,0.22908424,1.0125719,1.0780454,4.9990015,-0.21043536,-0.46817869,0.11619207,0.85030884,6.0491824,1.6715745,2.2357838,2.178081,0.65869534,0.49896404,-14.212502,5.3406987,-1.6476688,1.7026097,2574,6,0.47640929,1,2.584306,2.58531
12,1,0.32720786,0.21084112,3.8012209,1.1123763,2.6292772,0.43987709,0.29196286,-0.062497884,0.84697104,2.2987525,0.16634479,3.3537166,5.9379058,1.9429295,1.2519547,-8.2950907,9.5274181,-0.90426832,4.677269,53363,14,0.54833943,1,53.57666,53.650959
13,1,0.60174519,0.16180214,4.0136547,1.3961859,2.1497481,0.38325539,0.51599711,0.045853514,0.76469588,2.4116163,0.15361898,2.8489575,4.7513466,2.8590999,0.76877803,-32.537041,26.287487,-18.661552,3.9484165,32102,7,0.22142686,1,32.230534,32.358044
14,1,0.63742691,0.25254306,5.7578063,1.0771627,0.64348269,-0.42778769,0.28298995,-0.050662868,0.85694087,4.0710764,2.1852944,6.1007943,3.1956005,2.0369616,0.80702674,-1.5632505,23.790516,-2.3985057,3.3681049,19926,6,0.62618494,1,20.005781,20.03791
15,1,0.76492184,0.51529354,0.9636718,1.1151628,5.1525102,-0.26457873,-0.45823842,0.070772052,0.84558082,5.7212491,1.8485528,5.2842283,1.0956005,0.8380487,0.56455582,-36.247036,5.478003,-0.76013535,1.5398127,1904,3,0.5289647,1,1.9116235,1.9116235
16,1,0.26977226,0.13709277,2.1744375,0.2151527,3.9281962,0.068668179,-0.082539566,0.089632042,0.99017072,4.2890148,1.5365124,0.25511852,3.5019095,0.944718,0.48008645,-35.961239,18.419857,-0.97231781,2.2778921,6164,5,0.71764427,1,6.1886802,6.2258282
17,1,0.46141052,0.24991411,4.3355646,0.57101077,1.9385061,0.1024413,0.26235133,0.004372926,0.95950949,4.372036,1.1267923,3.5818415,4.5768671,2.1118147,1.1438237,-12.370358,33.532463,-2.9142525,4.2167931,39103,8,0.44817793,1,39.259563,39.442295
18,1,0.352501,0.15482019,1.9085131,1.4130775,3.9798784,0.33105478,-0.55845308,0.14916955,0.7458427,3.9840047,2.2404568,1.2267563,6.9793758,2.460237,1.0805483,-26.629839,17.290854,-12.073027,4.7446036,55701,8,0.19519041,1,55.924023,56.055546
19,1,0.29363599,0.15976281,2.5756197,0.35401076,3.5026336,0.15750407,-0.078724355,0.10068859,0.97921228,1.140862,2.5057902,3.3181887,3.079561,0.90426999,0.4919993,-12.212334,21.57848,-0.45626286,2.1678317,5313,5,0.70620531,1,5.3342729,5.3533487
20,1,0.48725209,0.25376186,0.96168381,0.73257774,5.1335225,-0.17644116,-0.3116762,0.08762528,0.92954195,3.8849936,2.315398,3.6111858,2.2169247,1.0802011,0.56257087,-18.115129,6.4211884,-11.091357,2.1473739,5164,8,0.66741383,1,5.1846762,5.2047563
21,1,0.58125919,0.2855908,4.3872352,0.5390051,1.6866267,0.058231939,0.25980601,0.10069979,0.95862895,3.7555127,2.2921312,1.895239,1.5048578,0.87471241,0.42977354,-5.7773128,31.691252,-3.4258454,1.6037096,2151,2,0.6815266,1,2.1596124,2.1947525
22,1,0.57062238,0.34946796,4.9873676,1.3992974,1.0336981,-0.25434241,0.59159124,0.09998291,0.75850725,1.059713,1.3559567,3.7433937,1.072493,0.61198848,0.3748019,-34.852482,20.765093,-0.49666545,1.2238594,956,2,0.71596664,1,0.95982772,0.96384376
23,1,0.61056197,0.36438611,4.3808017,0.57291818,1.8636986,0.086800389,0.26889473,0.018553138,0.95907098,4.3097878,1.3131682,6.2014394,2.1276343,1.2990526,0.77528042,-5.7533422,31.566545,-9.2425737,2.5196235,8342,6,0.72799921,1,8.3754005,8.4235926
24,1,0.75743431,0.22990766,4.7559114,1.54731,1.3364433,-0.09677127,0.69202113,0.068152994,0.7121076,5.9622555,0.036446907,4.5595999,0.62055421,0.47002906,0.14267017,-8.045042,32.855431,0.019567009,0.64200532,138,3,0.31727976,1,0.13855255,0.13855255
25,1,0.67728209,0.20465988,3.9883859,1.2854162,2.351959,0.40968204,0.43749231,-0.022874335,0.80014867,1.5696415,0.81162316,3.9469035,3.1845899,2.1568658,0.65175784,-13.193147,22.753675,-17.286522,2.6857302,10103,6,0.047583897,1,10.143452,10.198671
26,1,0.75220346,0.23859628,1.0631868,1.507076,5.3272848,-0.3641758,-0.57925588,-0.03910163,0.72822368,2.2849154,0.44742534,0.81190175,2.1665795,1.6297086,0.51693779,-11.049096,26.364382,-8.3329172,2.3505669,6773,6,0.56401265,1,6.8001184,6.8181906
27,1,0.53215206,0.26659778,1.8875995,1.4875853,4.8614264,0.056729142,-0.67470312,-0.16986176,0.71603388,4.2208047,1.4737728,4.2133126,1.3030046,0.69339657,0.34737813,-15.89762,5.5683522,-16.364143,1.3154141,1187,2,0.6517846,1,1.1917527,1.2068127
28,1,0.5109216,0.22413899,0.94749624,0.52426732,5.3589849,-0.1537063,-0.20863584,-0.011249647,0.9657737,0.89330763,0.837147,1.012406,1.9552571,0.99898309,0.43824935,-4.6183124,5.6903205,-4.1590786,1.8381568,3239,4,0.62311292,1,3.2519686,3.2620087
29,1,0.61448878,0.36462498,0.93635863,1.0888678,5.131372,-0.26036131,-0.44773602,0.091974154,0.85046178,5.6197062,2.8765092,2.2541249,2.0133481,1.2371798,0.73411697,-36.049221,14.45843,-0.49494451,2.3826344,7054,5,0.69470233,1,7.0822434,7.1213999
30,1,0.55429798,0.42286682,0.86285406,0.51220077,5.44555,-0.16713376,-0.19034779,-0.012197732,0.96730822,4.088129,2.4261925,1.2177945,0.78572702,0.43552688,0.33225787,-4.7849622,9.3962841,-15.254234,0.93332779,424,4,0.57725614,1,0.42569765,0.42670166
31,1,0.38243213,0.23361096,2.6788921,1.2775376,4.1044517,0.45105892,-0.38988349,-0.19868502,0.77785665,4.6793776,1.263052,3.1348932,0.99094272,0.37896833,0.23149508,-37.016167,12.419484,-0.17540066,0.84171623,311,3,0.46352041,1,0.31224522,0.31224522
32,1,0.76957059,0.3539294,1.0027705,0.78516513,5.252883,-0.20135503,-0.32530046,0.012718278,0.92383659,5.0199986,1.7597518,1.6020589,1.1365298,0.87463993,0.4022513,-12.151165,12.669601,-16.886765,1.414196,1475,3,0.54399937,1,1.4809058,1.4829137
33,1,0.55745012,0.35822153,3.1966977,1.1949116,3.4286487,0.55876189,-0.065094732,-0.14075527,0.81469983,0.62677079,1.2537613,1.6435337,1.0144149,0.56548566,0.36338526,-5.374507,5.3599396,-9.4407701,1.1455594,784,2,0.62243319,1,0.78713906,0.7941671
34,1,0.36297223,0.16016647,3.9406798,0.36543053,2.1964893,0.11687395,0.13912399,0.071729079,0.98073441,4.2960281,1.5047261,6.0411577,4.5737953,1.6601607,0.73256862,-33.586113,20.019793,-17.960922,3.4597397,21597,6,0.70558536,1,21.683474,21.730661
35,1,0.467031,0.30819643,1.9023266,1.5980926,4.8618984,0.065136358,-0.71372521,-0.1661237,0.67731559,1.9939018,0.9652468,2.7838774,8.5602055,3.9978812,2.6382246,-8.8709087,13.983686,-14.946639,7.9030395,257422,27,0.15243058,1,258.4527,259.61432
36,1,0.083371021,0.055620842,6.280251,0.53091812,0.16345195,-0.26144493,0.021800751,-0.077364363,0.9618659,4.684886,2.3278308,3.1141937,13.190841,1.0997338,0.73368567,-36.535847,23.922686,-18.651489,4.2223935,39259,7,0.54588318,1,39.416191,39.49852
37,1,0.51883912,0.27859515,5.9641809,0.92559898,6.2478633,-0.4419713,0.063113585,0.15769874,0.88080031,0.39578262,0.092574909,4.5647802,5.511209,2.8594308,1.5353961,-21.918411,9.241312,-6.8402495,5.59905,91539,11,0.61564988,1,91.905518,91.981819
38,1,0.42544106,0.20208764,1.8966769,1.5232964,4.86339,0.060266707,-0.6874786,-0.170929,0.70322424,1.1396741,1.7705436,2.556649,0.96611983,0.41102704,0.19524087,-15.585969,5.6693015,-12.03229,0.8204329,288,1,0.5595426,1,0.28915313,0.28915313
39,1,0.35672402,0.2136393,1.8729838,1.4155461,3.9896097,0.31879324,-0.5666191,0.15861008,0.74307233,3.9972448,2.0494604,1.0967096,6.0424438,2.1554849,1.2909034,-22.570705,8.6640348,-13.139101,4.8460546,59351,10,0.44645259,1,59.588638,59.937027
40,1,0.44862998,0.26684982,3.1829474,1.1854308,3.4172366,0.55478674,-0.065289229,-0.13091391,0.81903023,4.240798,1.7527843,3.9301631,1.6484551,0.73954636,0.43988994,-3.3743439,5.8664894,-14.412926,1.5753776,2039,4,0.64575922,1,2.047164,2.058208
41,1,0.55743152,0.34343871,1.0190737,1.529909,5.1586366,-0.33138722,-0.6080662,0.038027961,0.72041088,2.6819022,1.5174479,1.2446852,2.1043413,1.1730262,0.72271228,-6.8549104,35.997089,-4.7813563,2.3355479,6644,3,0.58276653,1,6.6706018,6.7077503
42,1,0.58468109,0.34799612,4.8738155,1.2586721,1.1909524,-0.15736069,0.56718355,0.088110849,0.80360246,6.0038495,0.91352379,0.14401095,2.0978031,1.2265458,0.73002732,-13.400942,6.1782308,-0.66770929,2.3999596,7209,7,0.66971195,1,7.2378645,7.2619605
43,1,0.33630461,0.18972495,4.0138931,1.3170033,2.359436,0.41422832,0.45041791,-0.03563574,0.79010683,4.8304648,1.5999038,4.2217107,5.0191112,1.68795,0.9522506,-18.93347,20.528511,-15.026171,3.6543815,25451,2,0.24911074,1,25.552904,25.59206
44,1,0.58936566,0.26511681,4.0308795,1.4067471,2.2951467,0.41812399,0.49347255,-0.016335238,0.76248962,1.6366847,1.4114469,4.925014,0.97519159,0.57474446,0.25853968,-35.209293,25.49839,-12.206261,0.997751,518,2,0.46624213,1,0.52007401,0.52107805
45,1,0.53282529,0.31606045,1.8959945,1.5107176,3.9959013,0.3411375,-0.59464604,0.1415274,0.71413672,3.7601628,2.3504636,0.99733824,2.9704425,1.582727,0.93883938,-15.199378,13.225318,-17.73678,3.1891108,16915,4,0.66831535,1,16.982727,17.057022
46,1,0.67628801,0.37465811,3.9325893,1.2484185,2.3048556,0.40134141,0.42486894,0.018555805,0.81121331,3.9297872,0.61979693,2.3165498,0.58715492,0.39708582,0.21998236,-11.029156,22.840096,-17.639011,0.70015883,179,5,0.44510874,1,0.17971671,0.18272871
47,1,0.40761366,0.20269272,5.7161131,0.95088977,0.22462921,-0.42233691,0.17649916,0.15148848,0.87608832,3.2103696,1.5029061,1.8148499,1.5259945,0.62201619,0.30930796,-30.042393,5.2251697,-17.398466,1.174531,845,3,0.15903211,1,0.84838331,0.85139531
48,1,0.71657151,0.50801384,0.85584551,0.46550426,5.6509171,-0.16970007,-0.15621848,-0.10854796,0.96696174,2.1219928,2.1005204,5.6574721,1.766072,1.2655169,0.89718908,-1.1071956,13.810442,-18.32699,2.4220605,7410,7,0.55628496,1,7.4396691,7.469789
49,1,0.79311657,0.25552642,2.9153147,1.2285988,2.8239586,0.57578498,0.026319033,0.21950692,0.78714401,2.0405123,0.24897693,0.51052779,6.5393634,5.1864772,1.6709801,-33.149445,29.607225,-17.192474,7.4796586,218227,7,0.67506033,1,219.10077,219.45015
50,1,0.23608607,0.18684012,2.0546641,1.1385733,4.7540417,0.11821517,-0.52590871,-0.21878123,0.81337565,2.2605762,0.87677908,5.6467662,2.4065549,0.5681541,0.44964105,-0.73626703,23.017153,-10.066501,1.6214072,2223,4,0.49672821,1,2.2319007,2.2389288
